,_id,length,n_geospans
464,4702178,24056,14
465,5332026,51496,34
466,4784882,34648,43
467,5340586,23929,26
468,5739849,21478,35
469,5672734,133157,665
470,4112419,38182,13
471,6261012,37903,25
472,5740406,30911,54
473,6048072,32194,41
474,5058534,38737,114
475,2222612,34320,20
476,4364730,54295,109
477,6145101,46923,13
478,2592265,14343,49
479,5526137,41539,53
480,5601946,37214,16
481,4776077,65643,73
482,2717114,18290,43
483,2861068,26314,54
484,5019021,14955,7
485,5812055,55129,47
486,6040702,58009,40
487,4509481,68878,57
488,5717625,38904,39
489,6351417,33832,10
490,2963773,24824,22
491,1705533,55252,136
492,6169941,46255,22
493,5199068,28418,22
494,4276013,20203,102
495,4353663,29639,132
496,6346569,43562,24
497,5369073,39934,108
498,5399808,20413,12
499,6396863,29281,16
500,5941494,33043,14
501,5134049,14518,0
502,2728836,43028,53
503,5799790,8256,21
504,3730592,23267,25
505,3682862,43762,75
506,3308937,44805,23
507,4564003,37260,47
508,4340909,38305,37
509,5417808,17418,25
510,5282651,33513,28
511,4108438,36863,25
512,5846234,34370,21
513,4108356,33139,35
514,5886061,49233,41
515,5320466,40879,49
516,5856740,38877,5
517,5013778,44908,37
518,3621426,26297,25
519,4839108,30005,27
520,4621740,35872,53
521,5914720,38772,21
522,3974052,35397,10
523,2804793,27935,23
524,3007589,27064,72
525,4751336,39189,22
526,4376025,24624,31
527,2453159,27885,60
528,4589980,23395,7
529,5429801,32263,12
530,4998769,22159,19
531,5466777,32490,4
532,3547393,53371,79
533,4570699,36855,12
534,6390311,30990,42
535,4140611,66398,21
536,5569136,36944,27
537,3732899,26299,21
538,4774031,53947,130
539,3750535,38259,16
540,3159203,20974,6
541,5769046,28134,40
542,4123946,69188,287
543,4210572,25582,16
544,3105939,50704,42
545,3542094,58897,105
546,3063209,21731,16
547,4065709,21962,58
548,3671711,23931,0
549,4227988,24693,10
550,1564174,36789,143
551,5021237,29478,12
552,5642897,27883,51
553,5800095,35513,68
554,2828452,35708,6
555,4747861,29274,12
556,3167767,30150,47
557,5903705,27658,55
558,4845234,109008,45
